Symbol,Name,LastSale,MarketCap,IPOyear,Sector,industry,Summary Quote
PIH,"1347 Property Insurance Holdings, Inc.",7.0863,$42.21M,2014,Finance,Property-Casualty Insurers,http://www.nasdaq.com/symbol/pih
TURN,180 Degree Capital Corp.,1.88,$58.51M,n/a,Finance,Finance/Investors Services,http://www.nasdaq.com/symbol/turn
FLWS,"1-800 FLOWERS.COM, Inc.",9.3,$600.64M,1999,Consumer Services,Other Specialty Stores,http://www.nasdaq.com/symbol/flws
FCCY,1st Constitution Bancorp (NJ),17.85,$144.04M,n/a,Finance,Savings Institutions,http://www.nasdaq.com/symbol/fccy
SRCE,1st Source Corporation,50.73,$1.32B,n/a,Finance,Major Banks,http://www.nasdaq.com/symbol/srce
VNET,"21Vianet Group, Inc.",7.51,$844.88M,2011,Technology,"Computer Software: Programming, Data Processing",http://www.nasdaq.com/symbol/vnet
XXII,"22nd Century Group, Inc",2.16,$266.67M,n/a,Consumer Non-Durables,Farming/Seeds/Milling,http://www.nasdaq.com/symbol/xxii
TWOU,"2U, Inc.",61.78,$3.21B,2014,Technology,Computer Software: Prepackaged Software,http://www.nasdaq.com/symbol/twou
DDD,3D Systems Corporation,9.45,$1.08B,n/a,Technology,Computer Software: Prepackaged Software,http://www.nasdaq.com/symbol/ddd
MMM,3M Company,230.18,$137.1B,n/a,Health Care,Medical/Dental Instruments,http://www.nasdaq.com/symbol/mmm
WBAI,500.com Limited,10.16,$414.2M,2013,Consumer Services,Services-Misc. Amusement & Recreation,http://www.nasdaq.com/symbol/wbai
JOBS,"51job, Inc.",61.26,$3.76B,2004,Technology,Diversified Commercial Services,http://www.nasdaq.com/symbol/jobs
WUBA,58.com Inc.,67.47,$9.82B,2013,Technology,"Computer Software: Programming, Data Processing",http://www.nasdaq.com/symbol/wuba
CAFD,8point3 Energy Partners LP,15.1,$1.19B,2015,Public Utilities,Electric Utilities: Central,http://www.nasdaq.com/symbol/cafd
EGHT,8x8 Inc,13.4,$1.23B,n/a,Public Utilities,Telecommunications Equipment,http://www.nasdaq.com/symbol/eght
AVHI,"A V Homes, Inc.",16.45,$369.4M,n/a,Capital Goods,Homebuilding,http://www.nasdaq.com/symbol/avhi
SHLM,"A. Schulman, Inc.",39.7,$1.17B,1972,Basic Industries,Major Chemicals,http://www.nasdaq.com/symbol/shlm
AHC,A.H. Belo Corporation,5.2,$113.12M,n/a,Consumer Services,Newspapers/Magazines,http://www.nasdaq.com/symbol/ahc
ATEN,"A10 Networks, Inc.",7.45,$527.21M,2014,Technology,Computer Communications Equipment,http://www.nasdaq.com/symbol/aten
AAC,"AAC Holdings, Inc.",7.55,$181.66M,2014,Health Care,Medical Specialities,http://www.nasdaq.com/symbol/aac
AAON,"AAON, Inc.",34.4,$1.81B,n/a,Capital Goods,Industrial Machinery/Components,http://www.nasdaq.com/symbol/aaon
AIR,AAR Corp.,41.06,$1.42B,n/a,Capital Goods,Aerospace,http://www.nasdaq.com/symbol/air
AAN,"Aaron&#39;s,  Inc.",35.93,$2.61B,n/a,Technology,Diversified Commercial Services,http://www.nasdaq.com/symbol/aan
ABAX,"ABAXIS, Inc.",47.75,$1.08B,1992,Capital Goods,Industrial Machinery/Components,http://www.nasdaq.com/symbol/abax
ABB,ABB Ltd,26.24,$56.01B,n/a,Consumer Durables,Electrical Products,http://www.nasdaq.com/symbol/abb
ABT,Abbott Laboratories,54,$93.82B,n/a,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/abt
ABBV,AbbVie Inc.,92.44,$147.36B,2012,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/abbv
ABEO,Abeona Therapeutics Inc.,16.4,$765.26M,n/a,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/abeo
ABEOW,Abeona Therapeutics Inc.,11.4,n/a,n/a,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/abeow
ANF,Abercrombie & Fitch Company,11.94,$812.96M,n/a,Consumer Services,Clothing/Shoe/Accessory Stores,http://www.nasdaq.com/symbol/anf
FAX,Aberdeen Asia-Pacific Income Fund Inc,5.07,$1.28B,1986,n/a,n/a,http://www.nasdaq.com/symbol/fax
IAF,Aberdeen Australia Equity Fund Inc,6.28,$142.82M,n/a,n/a,n/a,http://www.nasdaq.com/symbol/iaf
CH,"Aberdeen Chile Fund, Inc.",8.96,$83.84M,n/a,n/a,n/a,http://www.nasdaq.com/symbol/ch
ABE           ,Aberdeen Emerging Markets Smaller Company Opportunities Fund I,14.43,$136.87M,n/a,n/a,n/a,http://www.nasdaq.com/symbol/abe
FCO,"Aberdeen Global Income Fund, Inc.",8.96,$78.17M,1992,n/a,n/a,http://www.nasdaq.com/symbol/fco
GCH,"Aberdeen Greater China Fund, Inc.",12.31,$108.53M,1992,n/a,n/a,http://www.nasdaq.com/symbol/gch
IF,"Aberdeen Indonesia Fund, Inc.",7.72,$71.47M,1990,n/a,n/a,http://www.nasdaq.com/symbol/if
ISL,"Aberdeen Israel Fund, Inc.",20.18,$79.62M,1992,n/a,n/a,http://www.nasdaq.com/symbol/isl
JEQ,"Aberdeen Japan Equity Fund, Inc. ",9.21,$123.21M,1992,n/a,n/a,http://www.nasdaq.com/symbol/jeq
SGF,"Aberdeen Singapore Fund, Inc.",12.5,$92.74M,1990,n/a,n/a,http://www.nasdaq.com/symbol/sgf
ABIL,Ability Inc.,0.65,$16.74M,2014,Finance,Business Services,http://www.nasdaq.com/symbol/abil
ABMD,"ABIOMED, Inc.",188.89,$8.35B,n/a,Health Care,Medical/Dental Instruments,http://www.nasdaq.com/symbol/abmd
ABLX,Ablynx NV,21,$1.57B,2017,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),http://www.nasdaq.com/symbol/ablx
ABM,ABM Industries Incorporated,41.13,$2.68B,n/a,Finance,Diversified Commercial Services,http://www.nasdaq.com/symbol/abm
AXAS,Abraxas Petroleum Corporation,2.16,$358.24M,n/a,Energy,Oil & Gas Production,http://www.nasdaq.com/symbol/axas
ACIU,AC Immune SA,11.95,$680.22M,2016,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/aciu
ACIA,"Acacia Communications, Inc.",43.4,$1.7B,2016,Technology,Semiconductors,http://www.nasdaq.com/symbol/acia
ACTG,Acacia Research Corporation,4.475,$226.42M,n/a,Miscellaneous,Multi-Sector Companies,http://www.nasdaq.com/symbol/actg
ACHC,"Acadia Healthcare Company, Inc.",30.47,$2.68B,n/a,Health Care,Medical Specialities,http://www.nasdaq.com/symbol/achc
ACAD,ACADIA Pharmaceuticals Inc.,34.36,$4.21B,2004,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/acad
AKR,Acadia Realty Trust,28.58,$2.39B,n/a,Consumer Services,Real Estate Investment Trusts,http://www.nasdaq.com/symbol/akr
ACST,"Acasti Pharma, Inc.",1.3,$19.16M,n/a,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/acst
AXDX,"Accelerate Diagnostics, Inc.",20.05,$1.11B,n/a,Capital Goods,Biotechnology: Laboratory Analytical Instruments,http://www.nasdaq.com/symbol/axdx
ACCP,"Accelerated Pharma, Inc.",n/a,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/accp
XLRN,Acceleron Pharma Inc.,37.83,$1.7B,2013,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),http://www.nasdaq.com/symbol/xlrn
ACN,Accenture plc,142.96,$90.81B,2001,Miscellaneous,Business Services,http://www.nasdaq.com/symbol/acn
ANCX,Access National Corporation,28.76,$588.05M,n/a,Finance,Savings Institutions,http://www.nasdaq.com/symbol/ancx
ACCO,Acco Brands Corporation,12.7,$1.38B,n/a,Consumer Durables,Publishing,http://www.nasdaq.com/symbol/acco
ARAY,Accuray Incorporated,4.775,$399.93M,2007,Health Care,Medical/Dental Instruments,http://www.nasdaq.com/symbol/aray
ACRX,"AcelRx Pharmaceuticals, Inc.",2,$90.76M,2011,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/acrx
ACER,Acer Therapeutics Inc.,17.7501,$13.13M,n/a,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/acer
ACERW,Acer Therapeutics Inc.,0.06,n/a,n/a,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/acerw
ACET,Aceto Corporation,9.74,$298.45M,n/a,Health Care,Other Pharmaceuticals,http://www.nasdaq.com/symbol/acet
AKAO,"Achaogen, Inc.",12.71,$536.79M,2014,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/akao
ACHV,"Achieve Life Sciences, Inc. ",1.77,$19.96M,n/a,Health Care,Biotechnology: In Vitro & In Vivo Diagnostic Substances,http://www.nasdaq.com/symbol/achv
ACHN,"Achillion Pharmaceuticals, Inc.",3.9,$533.37M,2006,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/achn
ACIW,"ACI Worldwide, Inc.",23.77,$2.81B,n/a,Technology,Computer Software: Prepackaged Software,http://www.nasdaq.com/symbol/aciw
ACRS,"Aclaris Therapeutics, Inc.",25.01,$668.68M,2015,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/acrs
ACU,Acme United Corporation.,22.3,$75.19M,1988,Capital Goods,Industrial Machinery/Components,http://www.nasdaq.com/symbol/acu
ACNB,ACNB Corporation,27.6,$193.62M,n/a,Finance,Major Banks,http://www.nasdaq.com/symbol/acnb
ACOR,"Acorda Therapeutics, Inc.",28.15,$1.31B,2006,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),http://www.nasdaq.com/symbol/acor
ATV,"Acorn International, Inc.",14.52,$38.93M,2007,Consumer Services,Other Specialty Stores,http://www.nasdaq.com/symbol/atv
ATNM,"Actinium Pharmaceuticals, Inc.",0.647,$51.36M,n/a,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/atnm
SQZZ,Active Alts Contrarian ETF,25.065,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/sqzz
ATVI,"Activision Blizzard, Inc",65.33,$49.32B,n/a,Technology,Computer Software: Prepackaged Software,http://www.nasdaq.com/symbol/atvi
ACTA,Actua Corporation,15.45,$506.76M,n/a,Technology,EDP Services,http://www.nasdaq.com/symbol/acta
ATU,Actuant Corporation,25.65,$1.53B,n/a,Technology,Industrial Machinery/Components,http://www.nasdaq.com/symbol/atu
AYI,Acuity Brands Inc,165.72,$6.97B,n/a,Consumer Durables,Building Products,http://www.nasdaq.com/symbol/ayi
GOLF,Acushnet Holdings Corp.,18.21,$1.36B,2016,Consumer Non-Durables,Recreational Products/Toys,http://www.nasdaq.com/symbol/golf
ACXM,Acxiom Corporation,24.65,$1.97B,n/a,Technology,EDP Services,http://www.nasdaq.com/symbol/acxm
ADMS,"Adamas Pharmaceuticals, Inc.",26.62,$599.32M,2014,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/adms
ADMP,Adamis Pharmaceuticals Corporation,5.05,$158.32M,n/a,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/admp
ADX,"Adams Diversified Equity Fund, Inc.",15.64,$1.55B,n/a,n/a,n/a,http://www.nasdaq.com/symbol/adx
PEO,"Adams Natural Resources Fund, Inc.",19.79,$565.03M,n/a,n/a,n/a,http://www.nasdaq.com/symbol/peo
AE,"Adams Resources & Energy, Inc.",43.49,$183.42M,n/a,Energy,Oil Refining/Marketing,http://www.nasdaq.com/symbol/ae
ADAP,Adaptimmune Therapeutics plc,7.51,$702.33M,2015,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),http://www.nasdaq.com/symbol/adap
ADUS,Addus HomeCare Corporation,34.7,$403.37M,2009,Health Care,Medical/Nursing Services,http://www.nasdaq.com/symbol/adus
AEY,"ADDvantage Technologies Group, Inc.",1.418,$14.45M,n/a,Consumer Services,Office Equipment/Supplies/Services,http://www.nasdaq.com/symbol/aey
AGRO,Adecoagro S.A.,10.33,$1.25B,2011,Consumer Non-Durables,Farming/Seeds/Milling,http://www.nasdaq.com/symbol/agro
IOTS,Adesto Technologies Corporation,7.7,$161.26M,2015,Technology,Semiconductors,http://www.nasdaq.com/symbol/iots
ADNT,Adient plc,84.93,$7.91B,2016,Capital Goods,Auto Parts:O.E.M.,http://www.nasdaq.com/symbol/adnt
ADMA,ADMA Biologics Inc,2.44,$41.97M,n/a,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),http://www.nasdaq.com/symbol/adma
ADBE,Adobe Systems Incorporated,176.25,$86.88B,1986,Technology,Computer Software: Prepackaged Software,http://www.nasdaq.com/symbol/adbe
ADOM,"ADOMANI, Inc.",4.55,$309.72M,2017,Capital Goods,Auto Parts:O.E.M.,http://www.nasdaq.com/symbol/adom
ATGE,Adtalem Global Education Inc.,36.65,$2.26B,n/a,Consumer Services,Other Consumer Services,http://www.nasdaq.com/symbol/atge
ADTN,"ADTRAN, Inc.",21,$1B,1994,Public Utilities,Telecommunications Equipment,http://www.nasdaq.com/symbol/adtn
ADRO,"Aduro Biotech, Inc.",7.55,$563.32M,2015,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/adro
AAP,Advance Auto Parts Inc,80.75,$5.96B,n/a,Consumer Services,Other Specialty Stores,http://www.nasdaq.com/symbol/aap
AAAP,Advanced Accelerator Applications S.A.,81.03,$3.58B,2015,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/aaap
ADSW,"Advanced Disposal Services, Inc.",24.53,$2.17B,2016,Public Utilities,Environmental Services,http://www.nasdaq.com/symbol/adsw
WMS,"Advanced Drainage Systems, Inc.",19.35,$1.07B,2014,Capital Goods,Containers/Packaging,http://www.nasdaq.com/symbol/wms
ADES,"Advanced Emissions Solutions, Inc.",11.8,$249.02M,n/a,Basic Industries,Major Chemicals,http://www.nasdaq.com/symbol/ades
AEIS,"Advanced Energy Industries, Inc.",81.98,$3.27B,1995,Capital Goods,Industrial Machinery/Components,http://www.nasdaq.com/symbol/aeis
AMD,"Advanced Micro Devices, Inc.",10.8,$10.23B,n/a,Technology,Semiconductors,http://www.nasdaq.com/symbol/amd
ASX,"Advanced Semiconductor Engineering, Inc.",6.1,$10.32B,n/a,Technology,Semiconductors,http://www.nasdaq.com/symbol/asx
ASIX,AdvanSix Inc.,44.18,$1.35B,2016,Basic Industries,Major Chemicals,http://www.nasdaq.com/symbol/asix
AAV,Advantage Oil & Gas Ltd,5.6,$1.04B,n/a,Energy,Oil & Gas Production,http://www.nasdaq.com/symbol/aav
ADXS,"Advaxis, Inc.",3.18,$130.59M,n/a,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/adxs
ADXSW,"Advaxis, Inc.",1.314,n/a,n/a,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/adxsw
AVK,Advent Claymore Convertible Securities and Income Fund,16.08,$322.3M,2003,n/a,n/a,http://www.nasdaq.com/symbol/avk
AGC,Advent Claymore Convertible Securities and Income Fund II,6.15,$168.31M,2007,n/a,n/a,http://www.nasdaq.com/symbol/agc
LCM,Advent/Claymore Enhanced Growth & Income Fund,8.6499,$79.42M,2005,n/a,n/a,http://www.nasdaq.com/symbol/lcm
ADVM,"Adverum Biotechnologies, Inc.",3.15,$136.35M,2014,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),http://www.nasdaq.com/symbol/advm
ACM,AECOM,35.22,$5.52B,2007,Consumer Services,Military/Government/Technical,http://www.nasdaq.com/symbol/acm
ANW,Aegean Marine Petroleum Network Inc.,4.45,$180.82M,2006,Energy,Oil Refining/Marketing,http://www.nasdaq.com/symbol/anw
AEGN,Aegion Corp,23.14,$763.9M,n/a,Basic Industries,Water Supply,http://www.nasdaq.com/symbol/aegn
AGLE,"Aeglea BioTherapeutics, Inc.",4.23,$69.59M,2016,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/agle
AEB,Aegon NV,24.24,n/a,n/a,Finance,Life Insurance,http://www.nasdaq.com/symbol/aeb
AED,Aegon NV,25.88,n/a,n/a,Finance,Life Insurance,http://www.nasdaq.com/symbol/aed
AEG,Aegon NV,5.95,$12.18B,n/a,Finance,Life Insurance,http://www.nasdaq.com/symbol/aeg
AEH,Aegon NV,25.82,n/a,n/a,Finance,Life Insurance,http://www.nasdaq.com/symbol/aeh
AEK,Aegon NV,26.28,n/a,n/a,Finance,Life Insurance,http://www.nasdaq.com/symbol/aek
AEHR,Aehr Test Systems,3.46,$74.54M,1997,Capital Goods,Electrical Products,http://www.nasdaq.com/symbol/aehr
AMTX,"Aemetis, Inc",0.76,$15.07M,n/a,Basic Industries,Major Chemicals,http://www.nasdaq.com/symbol/amtx
AER,Aercap Holdings N.V.,52.86,$8.64B,2006,Technology,Diversified Commercial Services,http://www.nasdaq.com/symbol/aer
AERI,"Aerie Pharmaceuticals, Inc.",62.45,$2.27B,2013,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),http://www.nasdaq.com/symbol/aeri
ACY,AeroCentury Corp.,13.3,$18.84M,n/a,Technology,Diversified Commercial Services,http://www.nasdaq.com/symbol/acy
HIVE,"Aerohive Networks, Inc.",4.07,$219.27M,2014,Technology,EDP Services,http://www.nasdaq.com/symbol/hive
AJRD,"Aerojet Rocketdyne Holdings, Inc. ",30.84,$2.32B,n/a,Capital Goods,Military/Government/Technical,http://www.nasdaq.com/symbol/ajrd
AVAV,"AeroVironment, Inc.",50.86,$1.21B,2007,Capital Goods,Aerospace,http://www.nasdaq.com/symbol/avav
AEZS,AEterna Zentaris Inc.,1.89,$31.07M,n/a,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/aezs
AEMD,"Aethlon Medical, Inc.",0.9748,$14.69M,n/a,Capital Goods,Biotechnology: Laboratory Analytical Instruments,http://www.nasdaq.com/symbol/aemd
AET,Aetna Inc.,171.8,$57.05B,n/a,Health Care,Medical Specialities,http://www.nasdaq.com/symbol/aet
GNMX,"Aevi Genomic Medicine, Inc.",1.63,$96.71M,n/a,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),http://www.nasdaq.com/symbol/gnmx
AMG,"Affiliated Managers Group, Inc.",186.11,$10.41B,n/a,Finance,Investment Managers,http://www.nasdaq.com/symbol/amg
AFMD,Affimed N.V.,2.025,$88.98M,2014,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/afmd
AFL,Aflac Incorporated,84.29,$33.2B,n/a,Finance,Accident &Health Insurance,http://www.nasdaq.com/symbol/afl
AFSD,Aflac Incorporated,25.21,n/a,n/a,Finance,Accident &Health Insurance,http://www.nasdaq.com/symbol/afsd
MITT,"AG Mortgage Investment Trust, Inc.",19.35,$538.48M,2011,n/a,n/a,http://www.nasdaq.com/symbol/mitt
MITT^A,"AG Mortgage Investment Trust, Inc.",25.6415,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/mitt^a
MITT^B,"AG Mortgage Investment Trust, Inc.",25.4,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/mitt^b
AGCO,AGCO Corporation,69.43,$5.52B,n/a,Capital Goods,Industrial Machinery/Components,http://www.nasdaq.com/symbol/agco
AGEN,Agenus Inc.,3.58,$356.97M,2000,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),http://www.nasdaq.com/symbol/agen
AGRX,"Agile Therapeutics, Inc.",4.75,$162.45M,2014,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/agrx
A,"Agilent Technologies, Inc.",68.02,$21.89B,1999,Capital Goods,Biotechnology: Laboratory Analytical Instruments,http://www.nasdaq.com/symbol/a
AGYS,"Agilysys, Inc.",12.415,$290.41M,n/a,Technology,EDP Services,http://www.nasdaq.com/symbol/agys
AGIO,"Agios Pharmaceuticals, Inc.",62.01,$3B,2013,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/agio
AGNC,AGNC Investment Corp.,20.2,$7.9B,2008,Consumer Services,Real Estate Investment Trusts,http://www.nasdaq.com/symbol/agnc
AGNCB,AGNC Investment Corp.,26.29,$9.11B,n/a,Consumer Services,Real Estate Investment Trusts,http://www.nasdaq.com/symbol/agncb
AGNCN,AGNC Investment Corp.,26.49,n/a,n/a,Consumer Services,Real Estate Investment Trusts,http://www.nasdaq.com/symbol/agncn
AEM,Agnico Eagle Mines Limited,44.26,$10.28B,n/a,Basic Industries,Precious Metals,http://www.nasdaq.com/symbol/aem
ADC,Agree Realty Corporation,47.58,$1.39B,n/a,Consumer Services,Real Estate Investment Trusts,http://www.nasdaq.com/symbol/adc
AGU,Agrium Inc.,109.51,$15.13B,n/a,Basic Industries,Agricultural Chemicals,http://www.nasdaq.com/symbol/agu
AGFS,"AgroFresh Solutions, Inc.",5.94,$299.01M,2014,Finance,Business Services,http://www.nasdaq.com/symbol/agfs
AGFSW,"AgroFresh Solutions, Inc.",0.3459,n/a,2014,Finance,Business Services,http://www.nasdaq.com/symbol/agfsw
ALRN,"Aileron Therapeutics, Inc.",13.19,$194.09M,2017,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/alrn
AIMT,"Aimmune Therapeutics, Inc.",29.25,$1.48B,2015,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/aimt
AIRI,Air Industries Group,1.32,$18.81M,n/a,Capital Goods,Military/Government/Technical,http://www.nasdaq.com/symbol/airi
AL,Air Lease Corporation,43.8,$4.52B,2011,Technology,Diversified Commercial Services,http://www.nasdaq.com/symbol/al
APD,"Air Products and Chemicals, Inc.",159.92,$34.86B,n/a,Basic Industries,Major Chemicals,http://www.nasdaq.com/symbol/apd
AIRT,"Air T, Inc.",19.65,$40.14M,n/a,Transportation,Air Freight/Delivery Services,http://www.nasdaq.com/symbol/airt
ATSG,"Air Transport Services Group, Inc",23.92,$1.41B,n/a,Transportation,Air Freight/Delivery Services,http://www.nasdaq.com/symbol/atsg
AYR,Aircastle Limited,23.2,$1.83B,2006,Technology,Diversified Commercial Services,http://www.nasdaq.com/symbol/ayr
AIRG,"Airgain, Inc.",8.5,$81.13M,2016,Technology,Radio And Television Broadcasting And Communications Equipment,http://www.nasdaq.com/symbol/airg
AMCN,AirMedia Group Inc,2.31,$145.1M,2007,Technology,Advertising,http://www.nasdaq.com/symbol/amcn
AKS,AK Steel Holding Corporation,4.35,$1.37B,n/a,Basic Industries,Steel/Iron Ore,http://www.nasdaq.com/symbol/aks
AKAM,"Akamai Technologies, Inc.",52.69,$8.96B,1999,Miscellaneous,Business Services,http://www.nasdaq.com/symbol/akam
AKTX,Akari Therapeutics Plc,4.29,$50.52M,n/a,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/aktx
AKCA,"Akcea Therapeutics, Inc.",17.34,$1.15B,2017,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/akca
AKBA,"Akebia Therapeutics, Inc.",17.86,$842.12M,2014,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/akba
AKER,Akers Biosciences Inc,0.8,$7.12M,2014,Health Care,Biotechnology: In Vitro & In Vivo Diagnostic Substances,http://www.nasdaq.com/symbol/aker
AKRX,"Akorn, Inc.",32.54,$4.06B,n/a,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/akrx
AKTS,"Akoustis Technologies, Inc.",5.62,$107.26M,n/a,Public Utilities,Telecommunications Equipment,http://www.nasdaq.com/symbol/akts
ALP^Q,Alabama Power Company,25.55,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/alp^q
ALG,"Alamo Group, Inc.",109.75,$1.28B,n/a,Capital Goods,Industrial Machinery/Components,http://www.nasdaq.com/symbol/alg
AGI,Alamos Gold Inc.,6.25,$1.88B,2015,Basic Industries,Precious Metals,http://www.nasdaq.com/symbol/agi
ALRM,"Alarm.com Holdings, Inc.",45.9,$2.14B,2015,Technology,Computer Software: Prepackaged Software,http://www.nasdaq.com/symbol/alrm
ALK,"Alaska Air Group, Inc.",65.78,$8.13B,n/a,Transportation,Air Freight/Delivery Services,http://www.nasdaq.com/symbol/alk
ALSK,"Alaska Communications Systems Group, Inc.",2.5,$131.08M,1999,Public Utilities,Telecommunications Equipment,http://www.nasdaq.com/symbol/alsk
AIN,Albany International Corporation,59.9,$1.93B,n/a,Basic Industries,Textiles,http://www.nasdaq.com/symbol/ain
ALB,Albemarle Corporation,142.33,$15.72B,n/a,Basic Industries,Major Chemicals,http://www.nasdaq.com/symbol/alb
ALBO,"Albireo Pharma, Inc.",26.975,$239.6M,n/a,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/albo
ABDC,Alcentra Capital Corp.,8.75,$124.65M,n/a,n/a,n/a,http://www.nasdaq.com/symbol/abdc
AA,Alcoa Corporation,47.7,$8.83B,2016,Basic Industries,Aluminum,http://www.nasdaq.com/symbol/aa
ADHD,Alcobra Ltd.,1.49,$41.07M,2013,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/adhd
ALDR,"Alder BioPharmaceuticals, Inc.",10.65,$721.15M,2014,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/aldr
ALDX,"Aldeyra Therapeutics, Inc.",6.3,$95.45M,2014,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/aldx
ALEX,"Alexander & Baldwin Holdings, Inc.",45.21,$2.22B,n/a,Finance,Real Estate,http://www.nasdaq.com/symbol/alex
ALX,"Alexander&#39;s, Inc.",408.58,$2.09B,n/a,Consumer Services,Real Estate Investment Trusts,http://www.nasdaq.com/symbol/alx
ARE,"Alexandria Real Estate Equities, Inc.",125.21,$11.72B,n/a,Consumer Services,Real Estate Investment Trusts,http://www.nasdaq.com/symbol/are
ARE^D,"Alexandria Real Estate Equities, Inc.",36.66,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/are^d
AXU,Alexco Resource Corp,1.26,$127.48M,n/a,Basic Industries,Precious Metals,http://www.nasdaq.com/symbol/axu
ALXN,"Alexion Pharmaceuticals, Inc.",116.06,$25.93B,1996,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/alxn
AQN,Algonquin Power & Utilities Corp.,10.7,$4.09B,2016,Public Utilities,Electric Utilities: Central,http://www.nasdaq.com/symbol/aqn
BABA,Alibaba Group Holding Limited,186.08,$476.36B,2014,Miscellaneous,Business Services,http://www.nasdaq.com/symbol/baba
ALCO,"Alico, Inc.",31.75,$262.05M,n/a,Consumer Non-Durables,Farming/Seeds/Milling,http://www.nasdaq.com/symbol/alco
ALGN,"Align Technology, Inc.",234.95,$18.83B,2001,Health Care,Industrial Specialties,http://www.nasdaq.com/symbol/algn
ALIM,"Alimera Sciences, Inc.",1.24,$85.62M,2010,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/alim
ALO,Alio Gold Inc.,4.04,$176.24M,2011,Basic Industries,Precious Metals,http://www.nasdaq.com/symbol/alo
ALJJ,"ALJ Regional Holdings, Inc.",3.53,$128.91M,n/a,Miscellaneous,Business Services,http://www.nasdaq.com/symbol/aljj
ALKS,Alkermes plc,48.65,$7.48B,1991,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/alks
Y,Alleghany Corporation,564.57,$8.71B,n/a,Finance,Property-Casualty Insurers,http://www.nasdaq.com/symbol/y
ATI,Allegheny Technologies Incorporated,25.12,$2.74B,n/a,Basic Industries,Steel/Iron Ore,http://www.nasdaq.com/symbol/ati
ABTX,"Allegiance Bancshares, Inc.",38.3,$504.09M,2015,Finance,Major Banks,http://www.nasdaq.com/symbol/abtx
ALGT,Allegiant Travel Company,136.35,$2.19B,2006,Transportation,Air Freight/Delivery Services,http://www.nasdaq.com/symbol/algt
ALLE,Allegion plc,82.73,$7.86B,2013,Consumer Services,Diversified Commercial Services,http://www.nasdaq.com/symbol/alle
ALNA,"Allena Pharmaceuticals, Inc.",n/a,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/alna
